Throughput, wifiratio, wigiratio
568.8,21.7,78.3
1653.4,36.9,63.1
1878.1,16.2,83.8
1383.2,45.4,54.6
1208.3,26.3,73.7
1645.5,12.6,87.4
1191.1,0.0,100.0
1478.8,31.7,68.3
1738.9,0.0,100.0
1592.6,43.0,57.0
1772.7,19.0,81.0
1344.1,42.1,57.9
1150.0,23.4,76.6
1766.0,15.9,84.1
1954.6,0.0,100.0
1733.2,49.5,50.5
2007.5,22.6,77.4
2014.4,18.2,81.8
1912.7,30.9,69.1
1950.3,18.1,81.9
2002.9,25.9,74.1
1929.2,37.1,62.9
1329.5,53.4,46.6
1468.5,47.1,52.9
548.7,81.1,18.9
589.4,53.2,46.8
567.1,31.0,69.0
1368.0,14.0,86.0
1199.2,55.3,44.7
1347.9,27.5,72.5
1288.8,38.9,61.1
1157.0,31.6,68.4
1742.5,24.1,75.9
1996.3,30.4,69.6
1346.5,19.7,80.3
2049.9,20.2,79.8
1843.3,23.8,76.2
1796.9,18.1,81.9
946.8,13.3,86.7
1515.1,19.2,80.8
1833.6,73.3,26.7
617.1,85.4,14.6
498.3,100.0,0.0
726.0,67.2,32.8
582.3,26.8,73.2
827.4,31.0,69.0
862.5,13.8,86.2
1251.1,17.4,82.6
931.5,48.3,51.7
1419.6,23.2,76.8
1955.0,15.8,84.2
1926.0,18.7,81.3
2033.1,19.3,80.7
1939.7,20.8,79.2
1898.9,11.3,88.7
1197.8,56.6,43.4
1114.1,100.0,0.0
1567.5,17.1,82.9
983.9,98.0,2.0
584.1,23.3,76.7
609.9,86.8,13.2
712.7,25.6,74.4
1315.3,58.0,42.0
1037.1,52.6,47.4
945.7,20.3,79.7
1521.0,23.1,76.9
1898.6,50.0,50.0
1964.6,18.7,81.3
1950.5,0.0,100.0
1881.1,100.0,0.0
1736.2,39.3,60.7
1208.2,73.3,26.7
1123.9,43.9,56.1
1192.5,54.4,45.6
610.0,18.4,81.6
583.6,100.0,0.0
613.2,48.5,51.5
1249.1,33.9,66.1
1117.4,39.4,60.6
1271.5,2.2,97.8
1562.2,21.0,79.0
1852.7,28.4,71.6
1846.7,10.1,89.9
1933.5,22.7,77.3
1966.1,9.2,90.8
1636.7,29.5,70.5
1496.6,24.7,75.3
1280.4,20.7,79.3
1061.9,68.3,31.7
528.3,57.2,42.8
544.5,67.0,33.0
850.9,12.5,87.5
1089.1,21.7,78.3
866.7,56.6,43.4
1024.9,24.1,75.9
1901.0,18.7,81.3
1835.8,0.0,100.0
2000.6,21.4,78.6
1973.0,16.7,83.3
1939.7,16.0,84.0
1489.7,30.2,69.8
1346.5,40.9,59.1
1311.7,16.7,83.3
1073.3,93.5,6.5
561.7,41.2,58.8
496.0,100.0,0.0
812.3,20.4,79.6
1303.5,12.3,87.7
1059.2,35.1,64.9
1066.7,57.5,42.5
1624.2,23.2,76.8
1898.8,22.4,77.6
1949.6,20.1,79.9
1958.5,37.3,62.7
1748.3,18.9,81.1
1788.5,47.3,52.7
1063.9,28.0,72.0
1602.6,26.0,74.0
989.4,36.9,63.1
497.6,45.0,55.0
656.9,57.3,42.7
648.7,37.8,62.2
1201.7,23.4,76.6
1022.3,33.8,66.2
1240.1,15.6,84.4
1844.8,20.6,79.4
1927.8,16.6,83.4
1969.1,25.0,75.0
1924.3,21.6,78.4
1914.4,42.1,57.9
1415.0,24.4,75.6
1093.1,32.6,67.4
1555.0,31.2,68.8
554.7,60.7,39.3
838.6,35.4,64.6
599.4,79.0,21.0
1060.1,100.0,0.0
1161.4,32.3,67.7
942.1,50.6,49.4
1231.7,45.9,54.1
1384.4,22.7,77.3
1860.3,15.8,84.2
1921.8,44.5,55.5
1962.2,19.8,80.2
1907.5,27.6,72.4
1850.9,49.1,50.9
1572.0,19.6,80.4
1607.2,21.2,78.8
1614.3,20.6,79.4
1139.1,85.5,14.5
604.5,69.1,30.9
718.0,0.0,100.0
1012.4,20.8,79.2
1390.0,84.2,15.8
1116.0,100.0,0.0
870.9,65.5,34.5
1414.7,26.4,73.6
1919.8,23.3,76.7
1900.8,12.7,87.3
1923.8,19.4,80.6
1874.3,18.8,81.2
1901.0,19.3,80.7
1275.8,20.3,79.7
1784.3,15.7,84.3
1610.2,14.8,85.2
1156.6,61.6,38.4
628.4,100.0,0.0
571.0,30.9,69.1
1126.0,25.3,74.7
1491.5,62.6,37.4
1001.2,100.0,0.0
953.0,28.1,71.9
1810.9,21.8,78.2
1872.6,0.0,100.0
1900.2,27.8,72.2
1992.4,27.2,72.8
1921.0,22.2,77.8
1996.4,9.0,91.0
1637.8,26.2,73.8
1475.8,17.1,82.9
1583.3,48.9,51.1
865.3,27.0,73.0
592.5,61.4,38.6
578.3,70.1,29.9
1319.0,50.8,49.2
1362.7,31.4,68.6
1214.0,67.3,32.7
1296.0,19.1,80.9
1446.3,24.1,75.9
1964.7,59.1,40.9
1958.2,28.1,71.9
1984.5,22.0,78.0
1931.2,50.0,50.0
1474.9,80.3,19.7
1624.1,20.1,79.9
1350.1,36.9,63.1
972.3,72.8,27.2
784.0,31.5,68.5
592.0,89.2,10.8
1526.6,44.5,55.5
1316.4,24.7,75.3
897.3,35.7,64.3
1576.0,28.5,71.5
1703.2,22.5,77.5
1933.0,24.7,75.3
1821.0,27.4,72.6
1950.4,18.0,82.0
1902.6,18.7,81.3
1519.5,19.2,80.8
1509.5,50.0,50.0
1773.2,12.0,88.0
578.8,63.2,36.8
789.2,26.2,73.8
1260.0,11.0,89.0
1338.4,29.0,71.0
1148.8,42.5,57.5
897.0,100.0,0.0
1683.3,21.8,78.2
1892.4,19.0,81.0
1921.1,15.2,84.8
1921.8,2.7,97.3
1883.4,19.1,80.9
1796.6,24.5,75.5
1343.4,21.9,78.1
1647.3,24.8,75.2
1331.8,28.0,72.0
916.8,53.8,46.2
700.7,76.0,24.0
1194.9,9.7,90.3
1451.5,74.0,26.0
868.2,52.7,47.3
1047.3,45.3,54.7
1734.4,19.5,80.5
1919.9,29.3,70.7
1989.7,12.1,87.9
1902.4,0.0,100.0
1956.2,9.0,91.0
1504.7,75.5,24.5
1470.3,29.8,70.2
1785.0,0.0,100.0
1036.3,71.6,28.4
607.5,53.3,46.7
687.6,80.6,19.4
906.7,27.2,72.8
1382.0,35.1,64.9
1097.0,53.5,46.5
1012.3,68.9,31.1
1919.4,21.7,78.3
1945.9,15.8,84.2
1930.8,21.2,78.8
1934.6,0.0,100.0
1988.9,24.3,75.7
1922.5,18.9,81.1
1363.2,23.2,76.8
1669.6,12.8,87.2
999.8,0.0,100.0
1039.2,45.3,54.7
1278.4,48.0,52.0
626.4,6.8,93.2
1747.7,37.9,62.1
1290.4,44.8,55.2
998.7,38.3,61.7
1369.0,33.6,66.4
1863.8,21.5,78.5
1931.4,11.5,88.5
1901.3,25.4,74.6
1942.4,17.5,82.5
1749.8,18.6,81.4
1140.0,17.0,83.0
1425.5,15.3,84.7
624.2,70.1,29.9
642.9,58.3,41.7
967.3,6.6,93.4
1383.5,49.7,50.3
1052.3,32.6,67.4
1053.9,61.7,38.3
1163.9,16.2,83.8
1888.3,15.0,85.0
1902.9,25.2,74.8
1969.3,15.8,84.2
1893.2,0.0,100.0
1762.4,17.6,82.4
1554.6,100.0,0.0
1410.7,100.0,0.0
1020.2,31.6,68.4
741.0,100.0,0.0
361.8,53.1,46.9
441.3,65.7,34.3
792.5,14.9,85.1
1492.0,28.7,71.3
1030.5,18.0,82.0
871.9,14.9,85.1
1695.0,0.0,100.0
1789.8,22.1,77.9
1800.7,15.7,84.3
1744.3,13.7,86.3
1768.5,13.3,86.7
1323.4,41.3,58.7
1593.1,13.6,86.4
1587.8,11.0,89.0
708.0,14.7,85.3
516.2,40.8,59.2
390.7,50.6,49.4
1096.8,15.6,84.4
1066.2,31.3,68.7
1031.9,7.8,92.2
1463.0,23.5,76.5
1836.8,0.0,100.0
1785.3,9.2,90.8
1790.6,14.0,86.0
1574.0,14.0,86.0
1764.6,14.3,85.7
1410.2,60.6,39.4
1318.3,23.9,76.1
1000.4,62.9,37.1
718.7,39.4,60.6
449.5,51.6,48.4
883.4,31.4,68.6
754.8,40.3,59.7
1268.8,0.0,100.0
1765.5,16.4,83.6
1810.2,0.0,100.0
1778.0,13.6,86.4
1723.5,11.4,88.6
1776.6,14.3,85.7
1354.7,17.5,82.5
1354.8,33.0,67.0
1710.7,21.8,78.2
